frame_index,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,Identity,frame
,0.5561007,0.47610423,0.48995632,0.31281897,0.13152161,0,0.09771956,0.04471335,0,0.039381918,0.3081801,0.28315032,0.56774795,0,0.6466996,0.45216167,0.012406281,0.084240906,0.105807565,0.031211402,0.000905424,1.90E-05,2.62E-06,0.000814675,0.000183374,1.21E-05,0.9980628,Person_0,15
,0.592893,0.5317245,0.324356,0.33987185,0.10840745,0,0.08937205,0.043553796,0,0.02311678,0.3151324,0.29312083,0.6683337,0,0.65547776,0.5475875,0.002970629,0.14018215,0.27689442,0.045650642,0.000330029,1.20E-05,1.51E-06,0.00069824,0.000120175,4.54E-06,0.9988336,Person_0,16
,0.3727245,0.42284027,0.47966155,0.34510964,0.10401718,0,0.13905697,0.07107232,0,0.028497547,0.31825566,0.14819041,0.6267715,0,0.7268428,0.41735432,0.004549794,0.112949654,0.48087266,0.041765206,0.000630565,1.12E-05,2.80E-06,0.000178232,0.000131657,1.11E-05,0.9990344,Person_0,17
,0.5641815,0.41103268,0.20111516,0.26090202,0.14586572,0,0.12355052,0.06650073,1,0.025933465,0.343178,0.36703756,0.6397982,0,0.7477141,0.42515856,0.002403621,0.13294327,0.2651581,0.05308019,0.000277916,1.44E-05,4.28E-06,0.000685624,0.000186646,1.32E-05,0.99881786,Person_0,18
,0.6237404,0.46021482,0.28450656,0.3368481,0.111268274,0,0.116258696,0.011170313,0,0.01700352,0.311955,0.48436037,0.58491635,0,0.65626234,0.35708785,0.005482498,0.109482534,0.32975057,0.02970303,0.000175647,1.40E-05,6.26E-06,0.000582086,0.000167049,2.63E-05,0.9990287,Person_0,19
,0.45664883,0.41039675,0.45696306,0.27797616,0.10792559,0,0.09496913,0.024695404,0,0.01973432,0.28770685,0.37130648,0.61873037,0,0.59431314,0.4127731,0.006857504,0.12869334,0.2274007,0.045664657,0.0013924,2.36E-05,2.86E-06,0.000742238,0.000148767,9.78E-06,0.9976803,Person_0,20
,0.40502402,0.44370848,0.19975714,0.29149586,0.085300036,0,0.10436979,0.023420168,0,0.024181161,0.3491887,0.2521007,0.6007195,0,0.6841419,0.4608341,0.007578489,0.13894482,0.36990863,0.061775755,0.001023199,2.41E-05,2.01E-06,0.000736182,0.000152941,8.93E-06,0.9980526,Person_0,21
,0.46841574,0.4404486,0.37773666,0.27350542,0.087910675,0,0.1342575,0.006258184,0,0.019008841,0.3106491,0.21653749,0.613964,0,0.6456764,0.42023817,0.018941473,0.07550784,0.31238362,0.14762342,0.000933389,1.83E-05,2.53E-06,0.000697799,0.000266769,1.39E-05,0.9980673,Person_0,22
,0.5936978,0.4327884,0.27852672,0.25207958,0.104342304,0,0.12905855,0.014324967,0,0.029794844,0.22093247,0.23103374,0.58845145,0,0.5640538,0.34409645,0.003655071,0.15932019,0.35444912,0.11482179,0.000973497,1.81E-05,4.07E-06,0.000466965,0.00033163,2.11E-05,0.9981846,Person_0,23
,0.36386356,0.36762762,0.42008847,0.32698688,0.10242632,0,0.14535367,0.003805611,0,0.035309557,0.31395444,0.32402018,0.60996425,0,0.7659486,0.44220564,0.000458467,0.08077631,0.59017926,0.05475847,0.000564569,1.64E-05,3.94E-06,0.000575656,0.000423822,2.77E-05,0.99838793,Person_0,24
,0.41956156,0.4457682,0.42077544,0.26337332,0.12250793,0,0.12668101,0.005997899,0,0.05272252,0.36830685,0.25049222,0.6132761,0,0.67496973,0.39740118,0.0010857,0.05623446,0.3039815,0.08677497,0.001474047,7.34E-06,2.21E-06,0.000234767,0.000549768,1.36E-05,0.99771833,Person_0,25
,0.48181614,0.45135716,0.35876793,0.30918744,0.15021639,0,0.12035159,0.018858457,0,0.03172436,0.43115658,0.27548856,0.6423757,0,0.78606194,0.49244273,0.003272094,0.069992125,0.309911,0.07030488,0.001884246,1.94E-05,2.33E-06,0.000798561,0.000131694,1.46E-05,0.99714917,Person_0,26
,0.42739892,0.3573478,0.5464338,0.31954738,0.11449455,0,0.1148859,0.024600832,0,0.0258809,0.27358854,0.3039536,0.6098496,0,0.6906925,0.4967883,0.030526621,0.16900124,0.20252395,0.048855264,0.001788905,2.31E-05,3.70E-06,0.000426209,0.00025721,1.25E-05,0.9974884,Person_0,27
,0.36345264,0.4138115,0.36041862,0.39567038,0.13041563,0,0.14813523,0.07757829,0,0.0322572,0.32220262,0.29329517,0.6412256,0,0.6976332,0.36810625,0.004077023,0.08264122,0.55812246,0.03799965,0.001828347,2.66E-05,3.03E-06,0.000390506,0.000206933,1.05E-05,0.99753404,Person_0,28
,0.39644477,0.32609206,0.47453696,0.26716748,0.11224313,0,0.10601873,0.038760565,0,0.027035736,0.30674976,0.19819061,0.6515058,0,0.73909,0.5279924,0.003405401,0.09205422,0.2908249,0.056664128,0.000216355,1.04E-05,2.69E-06,0.000933009,0.000289555,1.64E-05,0.9985316,Person_0,29
,0.5768529,0.42059934,0.3783544,0.2952507,0.12748727,0,0.09729835,0.004079752,0,0.04146649,0.26436412,0.29275116,0.5956184,0,0.696529,0.4739287,0.021546116,0.10748934,0.28986165,0.052273646,0.000337683,1.45E-05,2.51E-06,0.000424021,0.000223552,1.44E-05,0.9989833,Person_0,0
,0.45661145,0.40475893,0.3964617,0.26249802,0.09604082,0,0.13260774,0.1118646,1,0.023554325,0.318475,0.19576658,0.61626196,0,0.69823223,0.47141248,0.00027824,0.0979209,0.27975607,0.1647507,0.000106474,9.79E-06,1.99E-06,0.001124607,0.000135006,2.61E-05,0.998596,Person_0,1
,0.58779746,0.61650187,0.21712892,0.31305936,0.08152763,0,0.08645458,0.001954282,1,0.02193016,0.3009491,0.3750685,0.5744153,0,0.5672812,0.31581992,0.020970486,0.07324038,0.2584168,0.0557497,0.000509469,1.19E-05,6.00E-06,0.000420623,0.000336468,4.00E-05,0.9986755,Person_0,2
,0.6116935,0.43945634,0.37881795,0.28188717,0.088046685,0,0.08612216,0.018087763,0,0.040088184,0.36327824,0.22654495,0.58321553,0,0.6711751,0.46512684,0.000998134,0.07689601,0.19834995,0.041546382,0.000601257,1.92E-05,3.17E-06,0.000813659,0.000215864,1.71E-05,0.9983297,Person_0,3
,0.6069753,0.41757184,0.5599842,0.31176215,0.07660322,0,0.11143685,0.018299097,0,0.03308722,0.23757982,0.3263331,0.5499172,0,0.71403795,0.3876503,0.002891185,0.14395638,0.34535363,0.036587153,0.000205439,5.93E-06,1.46E-06,0.000399713,0.000199834,9.84E-06,0.99917775,Person_0,4
,0.42143762,0.44967172,0.48063383,0.32157525,0.09360975,0,0.12992796,0.004560746,0,0.03321212,0.27933937,0.23158431,0.6116317,0,0.6850532,0.36993864,0.002456557,0.081324056,0.3906134,0.07693738,0.000782801,1.24E-05,3.04E-06,0.000939224,0.000189409,1.15E-05,0.9980616,Person_0,5
,0.53328514,0.4918797,0.585484,0.32598707,0.1051811,0,0.13097031,0.036876876,1,0.03512583,0.3039779,0.22631222,0.59846115,0,0.6584412,0.38950318,0.001914246,0.09436187,0.22769114,0.046786774,0.001018383,1.18E-05,3.17E-06,0.000846128,0.00021444,1.25E-05,0.99789363,Person_0,6
,0.52037334,0.25453347,0.4530965,0.31629798,0.09856056,0,0.14257434,0.003828519,0,0.038937286,0.34967232,0.16177991,0.559092,0,0.6688161,0.30061436,0.003036876,0.15015575,0.24965286,0.07017655,0.000664634,7.26E-06,1.98E-06,0.000617773,0.000148999,1.08E-05,0.99854857,Person_0,7
,0.46956632,0.46644363,0.51959467,0.2920518,0.10949682,0,0.076308645,0.003907155,0,0.029285144,0.27969655,0.5031588,0.6304015,0,0.6064288,0.56483227,0.00458063,0.11788827,0.41170055,0.04341743,0.000742738,3.41E-05,2.59E-06,0.000562512,0.000271673,9.77E-06,0.9983766,Person_0,8
,0.44892073,0.45631558,0.41770485,0.27916268,0.10628125,0,0.088504896,0.020799449,0,0.026612118,0.3427782,0.40566412,0.6535826,0,0.70718616,0.4745145,0.005803751,0.07563072,0.49416274,0.0367983,0.000710835,3.06E-05,2.35E-06,0.000517499,0.000214325,9.10E-06,0.9985153,Person_0,9
,0.51438963,0.41384485,0.40650237,0.2772597,0.122778624,0,0.16524999,0.022362974,0,0.035972092,0.3000489,0.4768524,0.6168108,0,0.7106405,0.39096838,0.000911666,0.06327707,0.3260621,0.030788489,0.000342895,1.14E-05,1.75E-06,0.000752585,0.000122995,9.33E-06,0.99875903,Person_0,10
,0.554822,0.51110893,0.31812143,0.2649354,0.1200499,0,0.10535093,0.001923138,0,0.033798713,0.30691105,0.3068671,0.5617679,0,0.7095601,0.40860215,0.001302747,0.15296343,0.2810098,0.04652323,0.000493145,3.45E-05,1.71E-06,0.000703577,0.000130612,8.64E-06,0.9986279,Person_0,11
,0.623111,0.3903826,0.36378396,0.2249982,0.12841898,0,0.12958932,0.002958025,0,0.030718975,0.30984557,0.31581652,0.5851824,0,0.6302264,0.4100941,0.001181013,0.12479411,0.22093135,0.14245902,0.00072717,3.61E-05,1.95E-06,0.000631204,0.000193706,7.30E-06,0.99840254,Person_0,12
,0.5493069,0.5375846,0.4576101,0.2919895,0.08975118,0,0.08697255,0.06545074,0,0.040509034,0.3214923,0.449064,0.5741127,0,0.58378255,0.5157026,0.000396095,0.1463614,0.42611334,0.046264574,0.000819733,2.38E-05,2.58E-06,0.000781638,0.000227488,1.06E-05,0.9981342,Person_0,13
,0.5060699,0.40841842,0.57640016,0.28787246,0.08664482,0,0.07921159,0.04214513,0,0.034743156,0.30555376,0.5151848,0.6207565,0,0.5458727,0.568007,0.005642149,0.13079524,0.59839916,0.05274537,0.001139291,3.51E-05,2.07E-06,0.000659483,0.000241408,6.52E-06,0.99791604,Person_0,14
,0.6137327,0.4142142,0.268227,0.2880889,0.105758525,0,0.10141024,0.01291736,0,0.037924096,0.24855277,0.266202,0.5409757,0,0.6525649,0.42499855,0.001138381,0.08838736,0.13497743,0.051395256,0.000278718,1.02E-05,1.70E-06,0.000381719,0.000207251,9.78E-06,0.99911064,Person_0,15
,0.64637697,0.41355494,0.54562634,0.21978468,0.14985225,0,0.16006987,0.011479988,0,0.033412617,0.28613892,0.36154956,0.6083744,0,0.73745126,0.50702035,0.017454559,0.13549112,0.3487136,0.09761404,0.000261194,7.53E-06,1.19E-06,0.000321889,0.000175947,5.22E-06,0.99922705,Person_0,16
,0.51893574,0.43855673,0.26139477,0.28542393,0.13469638,0,0.116859466,0.011767186,0,0.029951489,0.28692538,0.5738497,0.59219134,0,0.67314434,0.44036847,0.00510793,0.10268915,0.40286043,0.047042467,0.000153462,6.69E-06,9.09E-07,0.000291463,0.000159211,4.63E-06,0.99938357,Person_0,17
,0.58429307,0.3811075,0.123715475,0.22659756,0.10621281,0,0.13413443,0.006493457,0,0.023966882,0.24317504,0.5246385,0.6563974,0,0.6233752,0.39278236,0.007441597,0.12948729,0.098136365,0.120142005,0.000253544,6.25E-06,1.12E-06,0.000339947,0.000188438,5.08E-06,0.99920565,Person_0,18
,0.5254188,0.4610846,0.36325485,0.29637975,0.12611587,0,0.103823155,0.021700244,1,0.03437862,0.2550649,0.41086066,0.6824801,0,0.7015938,0.53038883,0.001147235,0.056911003,0.09472966,0.0239431,0.0002477,1.17E-05,1.53E-06,0.000469976,0.000175898,7.14E-06,0.999086,Person_0,19
,0.633458,0.38545033,0.52479464,0.32725686,0.10327476,0,0.15741208,0.011413012,0,0.026184596,0.24242797,0.28060067,0.61781,0,0.64831764,0.4129924,0.000551509,0.11339626,0.22039998,0.048060175,0.000451726,1.67E-05,4.44E-06,0.001393571,0.000198609,1.55E-05,0.9979194,Person_0,20
,0.4815008,0.42693302,0.44104746,0.26656815,0.1355062,0,0.13533628,0.02356925,0,0.027681498,0.29230496,0.38633537,0.5750796,0,0.6915048,0.4853193,0.001893513,0.12933418,0.41139555,0.041599374,0.000428018,2.10E-05,1.08E-06,0.000513309,0.000167209,2.52E-06,0.9988668,Person_0,21
,0.602707,0.3816276,0.48765177,0.35623893,0.10098402,0,0.12253018,0.00988861,0,0.040611308,0.33435017,0.32831857,0.65062135,0,0.6310836,0.44981235,0.00525953,0.098017186,0.32232887,0.026655797,0.000645624,8.34E-06,3.20E-06,0.000649744,0.000233964,1.56E-05,0.99844354,Person_0,22
,0.5489281,0.40977722,0.3549322,0.35232788,0.10060753,0,0.086531736,0.011918009,0,0.025618365,0.3575944,0.2859151,0.7169402,0,0.723219,0.47246647,0.008068164,0.059787616,0.26831034,0.046608854,0.000460439,1.54E-05,1.42E-06,0.00045468,0.00013228,2.33E-06,0.9989335,Person_0,23
